Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-16 00:00:00+00:00,3139.986083984375,3147.877197265625,3119.632080078125,3142.9345703125,12369911808,0.0,0.0
2025-07-16 01:00:00+00:00,3143.4521484375,3147.318603515625,3134.239501953125,3140.71923828125,16187228160,0.0,0.0
2025-07-16 02:00:00+00:00,3140.247314453125,3140.247314453125,3109.355224609375,3113.112060546875,9028894720,0.0,0.0
2025-07-16 03:00:00+00:00,3116.044189453125,3120.2451171875,3105.478271484375,3116.801025390625,17285758976,0.0,0.0
2025-07-16 04:00:00+00:00,3116.286376953125,3129.722412109375,3102.477783203125,3129.722412109375,9519562752,0.0,0.0
2025-07-16 05:00:00+00:00,3130.1416015625,3149.7880859375,3130.1416015625,3143.55517578125,9677496320,0.0,0.0
2025-07-16 06:00:00+00:00,3142.900390625,3162.09228515625,3134.287353515625,3162.09228515625,12093444096,0.0,0.0
2025-07-16 07:00:00+00:00,3164.4248046875,3173.989013671875,3157.33984375,3163.21533203125,14802845696,0.0,0.0
2025-07-16 08:00:00+00:00,3163.829345703125,3171.6005859375,3160.380126953125,3164.4267578125,10277126144,0.0,0.0
2025-07-16 09:00:00+00:00,3164.4384765625,3172.146728515625,3149.982177734375,3159.20458984375,10745647104,0.0,0.0
2025-07-16 10:00:00+00:00,3160.896484375,3163.00927734375,3148.41552734375,3148.41552734375,8717135872,0.0,0.0
2025-07-16 11:00:00+00:00,3147.5615234375,3158.57763671875,3146.2802734375,3150.658447265625,10055450624,0.0,0.0
2025-07-16 12:00:00+00:00,3150.924072265625,3177.853759765625,3150.84033203125,3169.075439453125,10685403136,0.0,0.0
